1,2
1,5
1,40
2,3
3,4
5,6
6,7
6,9
6,22
6,18
9,11
9,12
12,4
12,13
13,7
13,16
18,19
19,11
19,21
22,23
23,25
23,26
23,33
23,34
26,28
28,29
29,11
29,31
34,36
36,37
37,11
37,39
41,42
41,45
41,48
41,51
41,93
42,43
43,44
43,44
45,46
46,47
46,47
48,49
49,50
49,50
51,52
52,53
52,55
52,79
52,77
55,57
55,58
55,62
55,63
55,70
55,71
58,44
58,59
59,53
63,57
63,65
63,68
65,50
65,57
65,67
71,57
71,73
71,68
73,50
73,57
73,75
77,78
78,47
78,57
79,80
80,82
80,83
80,88
80,89
83,85
85,86
86,62
89,91
91,92
92,70
94,95
94,98
94,134
95,96
96,97
96,97
98,99
99,100
99,102
99,116
99,112
102,104
102,105
105,97
105,106
106,108
106,109
109,100
112,113
113,104
113,115
116,117
117,119
117,120
117,127
117,128
120,122
122,123
123,104
123,125
128,130
130,131
131,104
131,133
135,136
135,139
135,142
135,145
135,168
136,137
137,138
139,140
140,141
140,141
142,143
143,144
143,144
145,147
145,150
147,149
150,152
150,167
152,160
152,154
152,159
154,138
154,155
155,141
155,157
155,158
160,162
160,164
160,166
168,169
169,171
169,172
172,174
172,175
174,144
174,149
176,177
176,180
176,229
177,178
178,179
180,181
181,182
181,183
181,187
181,200
181,196
183,185
187,189
187,190
190,179
190,191
191,182
191,194
196,197
197,189
197,199
200,201
201,203
201,204
201,222
201,223
204,206
206,207
207,211
207,209
207,210
211,212
211,215
211,218
212,185
212,185
212,189
212,214
215,185
215,189
215,217
218,185
218,189
218,220
223,225
225,226
226,189
226,228
230,231
230,234
230,237
230,240
230,306
231,232
232,233
232,233
234,235
235,236
235,236
237,238
238,239
238,239
240,241
241,242
241,243
241,247
241,285
241,283
243,245
247,249
247,250
247,254
247,255
247,262
247,263
247,269
247,270
247,276
247,277
250,233
250,251
251,242
255,249
255,257
255,260
257,239
257,249
257,259
263,249
263,265
263,260
265,239
265,249
265,267
270,249
270,272
270,260
272,239
272,249
272,274
277,249
277,279
277,260
279,239
279,249
279,281
283,284
284,236
284,249
285,286
286,288
286,289
286,301
286,302
289,291
291,292
292,296
292,294
292,295
296,297
296,298
296,299
297,254
297,245
297,245
298,262
298,245
299,269
299,245
302,304
304,305
305,276
307,308
307,311
307,361
308,309
309,310
309,310
311,312
312,313
312,314
312,318
312,332
312,328
314,316
318,320
318,321
321,310
321,322
322,324
322,325
325,313
328,329
329,320
329,331
332,333
333,335
333,336
333,354
333,355
336,338
338,339
339,343
339,341
339,342
343,344
343,347
343,350
344,316
344,316
344,320
344,346
347,316
347,320
347,349
350,316
350,320
350,352
355,357
357,358
358,320
358,360
