src, dst
81,114
106,107
113,25
280,168
284,168
288,168
365,168
369,168
373,168
589,168
593,168
597,168
674,168
678,168
682,168
785,168
789,168
793,168
800,168
804,168
808,168
1479,1436
1500,1436
1513,1503
1540,1406
1545,1436
