src,dst
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3289,3285
3289,3220
3289,3285
3289,3220
3289,3285
3289,3220
3289,3285
3289,3220
3289,3285
3289,3220
3289,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
5382,3285
3289,3220
3139,3071
5382,3593
3205,3014
3139,3071
3149,2647
3151,3502
3150,2647
3213,3032
3318,3032
5382,3285
3289,3220
3289,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,5398
5404,3502
3149,2647
3151,5398
5404,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3139,3071
3146,5398
5404,3502
3149,2647
3151,5398
5404,3502
3150,2647
3318,3032
5426,3285
3289,3220
3139,3071
5426,3593
3205,3014
3139,3071
3149,2647
3151,3502
3150,2647
3213,3032
3318,3032
5431,3285
3289,3220
3139,3071
5431,3593
3205,3014
3139,3071
3149,2647
3151,5398
5404,3502
3150,2647
3213,3032
3318,3032
5431,3285
3289,3220
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3318,3032
3318,3285
3289,3220
3289,3285
3289,3220
3139,3071
3319,3593
3139,3071
3319,3593
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3213,3032
3318,3032
3318,3285
3289,3220
3139,3071
3319,3593
3139,3071
3319,3593
3137,3502
3213,3032
3213,3032
3318,3032
3318,3285
3289,3220
3139,3071
3319,3593
3139,3071
3319,3593
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3213,3032
3318,3032
3318,3285
3289,3220
3139,3071
3319,3593
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3318,3032
3318,3285
3289,3220
3139,3071
3319,3593
3139,3071
3319,3593
3139,3071
3319,3593
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3213,3032
3213,3032
3318,3032
3318,3285
3289,3220
3139,3071
3319,3593
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3318,3032
3318,3285
3289,3220
3139,3071
3319,3593
3139,3071
3319,3593
3139,3071
3319,3593
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3213,3032
3213,3032
3318,3032
5504,3285
3289,3220
3139,3071
5504,3593
3205,3019
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3205,3019
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3205,3019
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3318,3032
5509,3285
3289,3220
3139,3071
5509,3593
3205,3014
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3205,3014
3139,3071
3146,3502
3149,2647
3151,3502
3150,2647
3213,3032
3205,3014
3139,3071
3146,3502
3149,2647
3151,3502
