/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js init 174 0 340 =======> 0.547897338867
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 176 30 346 =======> 0.449549973011
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 178 11 349 =======> 0.215337142348
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js sequencer 186 16 356 =======> 0.813829839230
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 204 3 385 =======> 0.572929263115
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 205 18 386 =======> 0.261547952890
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 3 20 595 =======> 0.712359130383
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 7 20 598 =======> 0.884950995445
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 11 23 606 =======> 0.775993227959
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 15 29 611 =======> 0.781324088573
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 19 22 615 =======> 0.775475144386
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 23 23 620 =======> 0.725607752800
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 27 23 625 =======> 0.778058946133
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 31 25 630 =======> 0.790345907211
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 35 24 635 =======> 0.773394227028
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 39 25 640 =======> 0.775998830795
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 47 12 652 =======> 0.812835454941
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 48 23 655 =======> 0.792890131474
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js applyTheme 53 2 659 =======> 0.674210786819
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 68 31 667 =======> 0.195637345314
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 76 28 681 =======> 0.797059655190
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 80 36 686 =======> 0.561203241348
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 88 25 698 =======> 0.374346315861
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 96 20 702 =======> 0.560714781284
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js addProperty 23 2 619
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 47 16 189 =======> 0.015553195029
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 51 17 191 =======> 0.015553091653
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 55 36 194 =======> 0.480649590492
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js stylize 60 31 201 =======> 0.878346085548
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 78 25 219 =======> 0.380827963352
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js build 85 0 227 =======> 0.591542720795
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js builder 86 16 232 =======> 0.499368220568
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 96 14 243 =======> 0.505227267742
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 99 34 253 =======> 0.255934536457
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 103 11 260 =======> 0.162264078856
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js colors 111 24 268 =======> 0.800311863422
