Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/benchmark/parse-100k-blog-rows.js createPacketBuffer 27 4 183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js ping 201 28 719 =======> 0.528497993946
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js statistics 211 34 728 =======> 0.383382409811
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js end 221 27 737 =======> 0.564651191235
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 242 31 751 =======> 0.636272788048
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 249 29 756 =======> 0.513622879982
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 254 30 760 =======> 0.492814004421
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 259 30 764 =======> 0.407678812742
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js escapeId 263 32 769 =======> 0.605185866356
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 267 30 772 =======> 0.497351557016
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js _startTLS 276 35 784 =======> 0.208371698856
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 279 37 789 =======> 0.312854886055
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 300 35 810 =======> 0.496765822172
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 310 38 818 =======> 0.656790435314
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 314 32 821 =======> 0.478879988194
