/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js nan 79 24 162 =======> 0.887065172195
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js onfinished 101 16 179 =======> 0.885380744934
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js contentstream 151 0 208 =======> 0.874995470047
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js dump 198 0 240 =======> 0.125349983573
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/text.js text 33 0 567 =======> 0.255120307207
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/text.js parse 53 2 597 =======> 0.032510355115
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/text.js textParser 57 9 601 =======> 0.091729380190
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/text.js getCharset 102 0 635 =======> 0.110383965075
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/text.js typeChecker 117 0 646 =======> 0.206449046731
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/text.js checkType 118 9 648 =======> 0.886008799076
Total edge above 0.9 ===>  3


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/urlencoded.js queryparse 75 8 732
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js read 40 0 117 =======> 0.954767882824
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js nan 79 24 162 =======> 0.445632010698
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js onfinished 101 16 179 =======> 0.011993844062
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js contentstream 151 0 208 =======> 0.339251399040
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/read.js dump 198 0 240 =======> 0.020776925609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/urlencoded.js urlencoded 43 0 687 =======> 0.315320014954
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/urlencoded.js parse 73 2 727 =======> 0.015929734334
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/urlencoded.js urlencodedParser 79 9 735 =======> 0.020699689165
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/body-parser/lib/types/urlencoded.js extendedparser 132 0 776 =======> 0.154543980956
