/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js isFunction 34 7 2812 =======> 0.313762068748
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js testTag 38 0 2817 =======> 0.410615742207
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js nan 40 9 2823 =======> 0.139932230115
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js indexOf 52 7 2841 =======> 0.033140085638
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js escapeExpression 61 7 2853 =======> 0.780420541763
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js isEmpty 84 7 2876 =======> 0.932673871517
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js createFrame 94 7 2886 =======> 0.095082163811
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js extend 45 6 239
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js HandlebarsEnvironment 25 7 215 =======> 0.796072840691
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js nan 40 18 230 =======> 0.437992900610
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js nan 50 20 241 =======> 0.465787589550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js nan 54 19 244 =======> 0.563522875309
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js nan 66 21 257 =======> 0.549452245235
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js nan 70 21 260 =======> 0.365814685822
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js nan 80 23 268 =======> 0.519611835480
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/base.js nan 87 29 271 =======> 0.181101337075
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/decorators.js registerDefaultDecorators 3 7 1876 =======> 0.117461971939
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/helpers.js registerDefaultHelpers 9 7 2208 =======> 0.252455294132
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/helpers.js moveHelperToHooks 19 7 2219 =======> 0.958164989948
