Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/bench.js nan 26 2 71
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 247 50 430 =======> 0.075911350548
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 259 17 445 =======> 0.091875247657
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 274 37 464 =======> 0.118135914207
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 275 28 467 =======> 0.115566499531
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 283 17 476 =======> 0.086729519069
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 296 47 494 =======> 0.118533857167
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 297 62 499 =======> 0.100005410612
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 306 17 510 =======> 0.086712487042
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 319 56 528 =======> 0.118093721569
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 320 28 531 =======> 0.109384439886
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 329 17 541 =======> 0.086725898087
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 342 40 559 =======> 0.118549175560
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 343 50 563 =======> 0.099871836603
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 352 17 573 =======> 0.086720019579
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 365 21 591 =======> 0.102118566632
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 368 4 597 =======> 0.123816549778
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js fl 372 7 601 =======> 0.193650171161
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 381 20 607 =======> 0.101543977857
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 384 4 611 =======> 0.116242349148
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js fl 388 7 616 =======> 0.181269168854
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 397 25 622 =======> 0.109877459705
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 400 17 627 =======> 0.155836954713
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 408 31 633 =======> 0.116493895650
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 411 17 637 =======> 0.155685111880
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 420 21 643 =======> 0.117660447955
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/through2/test/test.js nan 422 13 648 =======> 0.230482786894
Total edge above 0.9 ===>  1


RANK 1 number of edge 2 ===>  0.037037037037037035


