/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 57 63 778 =======> 0.845488071442
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 63 129 783 =======> 0.001330325031
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 66 67 793 =======> 0.655174016953
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 72 113 797 =======> 0.001942084986
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 79 68 808 =======> 0.077586576343
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 81 65 812 =======> 0.832132697105
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 88 49 816 =======> 0.000516717846
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 90 58 822 =======> 0.827580571175
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 96 53 826 =======> 0.000327223446
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 97 56 830 =======> 0.918441832066
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 104 43 838 =======> 0.000340489700
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 105 39 841 =======> 0.964585125446
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 112 46 852 =======> 0.000000368079
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 113 101 854 =======> 0.000722394616
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 115 79 861 =======> 0.400727629662
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 124 50 873 =======> 0.000000368320
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 125 72 875 =======> 0.000694477174
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 127 100 881 =======> 0.857875525951
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 136 41 895 =======> 0.000001152919
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 137 33 899 =======> 0.001733480953
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 138 154 903 =======> 0.003254116513
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 140 41 906 =======> 0.636598467827
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js sign 140 10 904
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 7 43 688 =======> 0.000000069118
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 9 35 690 =======> 0.000002886215
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 12 65 695 =======> 0.000257088046
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 13 63 703 =======> 0.906468212605
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 23 41 730 =======> 0.000194352833
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 24 39 735 =======> 0.943072795868
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 30 52 740 =======> 0.000316053687
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 31 35 743 =======> 0.886279881001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 37 62 747 =======> 0.000221416398
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 38 64 751 =======> 0.968835175037
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 47 69 761 =======> 0.001754059922
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 48 65 766 =======> 0.962047517300
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 55 66 774 =======> 0.000253614184
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 57 63 778 =======> 0.917235732079
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 63 129 783 =======> 0.000706492399
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 66 67 793 =======> 0.830223917961
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 72 113 797 =======> 0.001036325586
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 79 68 808 =======> 0.034708790481
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 81 65 812 =======> 0.912950754166
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 88 49 816 =======> 0.000263015041
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 90 58 822 =======> 0.911205291748
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 96 53 826 =======> 0.000166544749
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 97 56 830 =======> 0.954050660133
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 104 43 838 =======> 0.000173297914
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 105 39 841 =======> 0.984872579575
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 112 46 852 =======> 0.000000247591
