/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 742 22 1071 =======> 0.196082860231
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 761 21 1085 =======> 0.094918623567
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 788 14 1110 =======> 0.165686622262
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 815 12 1120 =======> 0.172922059894
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 29 13 1193 =======> 0.298482716084
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 41 28 1202 =======> 0.646670281887
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js encode_char 58 0 1217 =======> 0.155060127378
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 96 20 1224 =======> 0.523915588856
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js escapeXMLToString 103 0 1231 =======> 0.473998218775
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 133 22 1251 =======> 0.477944523096
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 161 30 1267 =======> 0.788500964642
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 191 7 1292 =======> 0.356569379568
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 194 7 1295 =======> 0.712500810623
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 197 10 1298 =======> 0.545165359974
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 200 9 1301 =======> 0.130061641335
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 213 24 1304 =======> 0.627164423466
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 214 32 1308 =======> 0.264364659786
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 224 43 1315 =======> 0.088743694127
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 226 11 1320 =======> 0.314240723848
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 231 11 1328 =======> 0.314036875963
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 236 9 1332 =======> 0.276803106070
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js shallowCopy 460 6 852
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 120 25 587 =======> 0.790672421455
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js resolvePaths 139 0 608 =======> 0.497638583183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 141 17 616 =======> 0.668896436691
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js getIncludePath 156 0 623 =======> 0.758698940277
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js handleCache 210 0 663 =======> 0.851485848427
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js tryHandleCache 254 0 702 =======> 0.775446951389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 258 37 714 =======> 0.573415040970
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js fileLoader 292 0 732 =======> 0.805531084538
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js includeFile 309 0 735 =======> 0.729592680931
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js rethrow 340 0 756 =======> 0.583395123482
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 346 44 784 =======> 0.697729647160
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js stripSemi 364 0 794 =======> 0.787518918514
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js compile 381 18 798 =======> 0.927900969982
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 415 17 816 =======> 0.959567248821
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 441 21 830 =======> 0.347687065601
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 505 21 865 =======> 0.472155958414
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js Template 509 0 868 =======> 0.529618740082
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 560 15 913 =======> 0.462174832821
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 571 11 931 =======> 0.521922349930
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js anonymous 695 40 1014 =======> 0.648338198662
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 696 20 1018 =======> 0.725159049034
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 721 18 1051 =======> 0.437796771526
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 742 22 1071 =======> 0.678182125092
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 761 21 1085 =======> 0.514900267124
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 788 14 1110 =======> 0.659203112125
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 815 12 1120 =======> 0.635891258717
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 29 13 1193 =======> 0.765254497528
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 41 28 1202 =======> 0.925004541874
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js encode_char 58 0 1217 =======> 0.279098689556
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 96 20 1224 =======> 0.899055659771
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js escapeXMLToString 103 0 1231 =======> 0.755852162838
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 133 22 1251 =======> 0.885391116142
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 161 30 1267 =======> 0.966132283211
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 191 7 1292 =======> 0.818004548550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 194 7 1295 =======> 0.948232948780
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 197 10 1298 =======> 0.899565756321
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 200 9 1301 =======> 0.594809114933
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 213 24 1304 =======> 0.921714067459
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 214 32 1308 =======> 0.706019878387
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 224 43 1315 =======> 0.441085129976
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 226 11 1320 =======> 0.792905449867
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 231 11 1328 =======> 0.792627632618
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 236 9 1332 =======> 0.759587228298
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js shallowCopy 477 10 859
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 120 25 587 =======> 0.510510623455
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js resolvePaths 139 0 608 =======> 0.216303050518
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 141 17 616 =======> 0.396088331938
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js getIncludePath 156 0 623 =======> 0.470383137465
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js handleCache 210 0 663 =======> 0.635955333710
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js tryHandleCache 254 0 702 =======> 0.489809274673
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 258 37 714 =======> 0.282098263502
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js fileLoader 292 0 732 =======> 0.613603770733
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js includeFile 309 0 735 =======> 0.420222908258
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js rethrow 340 0 756 =======> 0.267399966717
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 346 44 784 =======> 0.442500144243
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js stripSemi 364 0 794 =======> 0.637283146381
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js compile 381 18 798 =======> 0.880568921566
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 415 17 816 =======> 0.893208205700
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 441 21 830 =======> 0.180633500218
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 505 21 865 =======> 0.235955581069
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js Template 509 0 868 =======> 0.210155919194
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 560 15 913 =======> 0.237646341324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 571 11 931 =======> 0.278541952372
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js anonymous 695 40 1014 =======> 0.383505821228
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 696 20 1018 =======> 0.489931821823
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 721 18 1051 =======> 0.210809633136
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 742 22 1071 =======> 0.419965595007
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 761 21 1085 =======> 0.268577754498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 788 14 1110 =======> 0.440290480852
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 815 12 1120 =======> 0.361939936876
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 29 13 1193 =======> 0.607872009277
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 41 28 1202 =======> 0.865195095539
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js encode_char 58 0 1217 =======> 0.095561333001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 96 20 1224 =======> 0.799945235252
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js escapeXMLToString 103 0 1231 =======> 0.527507066727
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 133 22 1251 =======> 0.781268417835
