/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/alert.js nan 54 19 99 =======> 0.000002001157
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/alert.js nan 61 26 106 =======> 0.005738467909
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/alert.js nan 62 23 111 =======> 0.705912470818
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js _getConfig 38 21 188
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 6 1 137 =======> 0.000417086063
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 10 10 168 =======> 0.006227055565
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 31 15 176 =======> 0.922204852104
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 43 11 195 =======> 0.016668915749
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 50 18 209 =======> 0.866922497749
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 53 14 216 =======> 0.957089185715
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 61 22 226 =======> 0.893677651882
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 64 30 233 =======> 0.905236661434
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 67 22 242 =======> 0.095952354372
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 70 23 245 =======> 0.189322575927
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 73 24 252 =======> 0.125653967261
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/base-component.js nan 76 20 259 =======> 0.041009884328
Total edge above 0.9 ===>  2


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js factory 9 93 294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js nan 6 1 269 =======> 0.264405727386
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js nan 10 10 298 =======> 0.803924739361
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js nan 38 19 324 =======> 0.001450491953
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js nan 43 10 328 =======> 0.000010435731
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js nan 49 26 336 =======> 0.003082402516
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js nan 50 23 341 =======> 0.399830609560
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/button.js nan 63 72 351 =======> 0.000028117836
Total edge above 0.9 ===>  3


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js _clearInterval 129 6 572
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 6 1 368 =======> 0.000000251623
