/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js ShellString 150 0 754 =======> 0.168128639460
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 164 22 769 =======> 0.044613424689
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js parseOptions 178 0 774 =======> 0.032227993011
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 198 27 804 =======> 0.043311096728
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 215 18 823 =======> 0.015606912784
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 228 29 833 =======> 0.000536188483
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js expand 254 0 843 =======> 0.008661475964
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 259 15 856 =======> 0.015469325706
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 283 2 881 =======> 0.012333713472
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 286 2 885 =======> 0.011451121420
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js unlinkSync 293 0 888 =======> 0.009694335051
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statFollowLinks 311 0 899 =======> 0.001656741137
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statNoFollowLinks 316 0 904 =======> 0.026980405673
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomFileName 322 0 909 =======> 0.008059719577
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomHash 323 2 911 =======> 0.006433581002
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js wrap 340 0 933 =======> 0.571942150593
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 342 9 938 =======> 0.819989025593
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 374 27 966 =======> 0.381068438292
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 383 24 977 =======> 0.449157625437
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 392 24 989 =======> 0.185536414385
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _readFromPipe 444 0 1026 =======> 0.738000512123
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _register 464 0 1037 =======> 0.003910814878
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 468 35 1044 =======> 0.000011131572
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/cat.js numberedLine 64 15 213
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/cat.js _cat 30 0 153 =======> 0.000184768520
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/cat.js nan 37 16 172 =======> 0.011542405002
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/cat.js addNumbers 55 0 194 =======> 0.286630392075
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/cat.js nan 59 20 205 =======> 0.749803483486
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/cat.js numberedLine 71 0 219 =======> 0.902271926403
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 32 9 660 =======> 0.004520998336
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 38 19 665 =======> 0.003150289180
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js isObject 58 0 677 =======> 0.640562534332
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js log 63 0 682 =======> 0.357260853052
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js convertErrorOutput 74 0 690 =======> 0.075897097588
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js CommandError 84 0 701 =======> 0.012665200047
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js error 92 0 709 =======> 0.534078776836
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js ShellString 150 0 754 =======> 0.413422733545
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 164 22 769 =======> 0.119017854333
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js parseOptions 178 0 774 =======> 0.095852546394
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 198 27 804 =======> 0.151880741119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 215 18 823 =======> 0.043195944279
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 228 29 833 =======> 0.001622740761
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js expand 254 0 843 =======> 0.026084264740
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 259 15 856 =======> 0.029493121430
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 283 2 881 =======> 0.062047369778
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 286 2 885 =======> 0.057778581977
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js unlinkSync 293 0 888 =======> 0.019430946559
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statFollowLinks 311 0 899 =======> 0.009220113978
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statNoFollowLinks 316 0 904 =======> 0.153971493244
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomFileName 322 0 909 =======> 0.016066575423
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomHash 323 2 911 =======> 0.013084933162
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js wrap 340 0 933 =======> 0.803919792175
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 342 9 938 =======> 0.924900472164
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 374 27 966 =======> 0.581467688084
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 383 24 977 =======> 0.497197449207
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 392 24 989 =======> 0.208514079452
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _readFromPipe 444 0 1026 =======> 0.885327756405
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _register 464 0 1037 =======> 0.012593710795
