Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nfcall 31 8 62
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js deprecate 478 0 1282 =======> 0.093364268541
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 479 11 1287 =======> 0.004003037699
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js Q 497 0 1297 =======> 0.995869219303
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js defer 549 0 1319 =======> 0.998242497444
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 561 30 1332 =======> 0.737179815769
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 569 23 1343 =======> 0.869192242622
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 576 22 1346 =======> 0.838381052017
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 587 22 1358 =======> 0.098158441484
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js become 613 4 1375 =======> 0.966807663441
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 622 31 1380 =======> 0.881111145020
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 623 23 1383 =======> 0.940870046616
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 633 23 1388 =======> 0.917690217495
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 641 23 1393 =======> 0.937422335148
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 648 22 1399 =======> 0.925547659397
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 655 22 1406 =======> 0.976412773132
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 660 40 1411 =======> 0.460365951061
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 661 23 1414 =======> 0.602838099003
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 675 35 1419 =======> 0.758248567581
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 677 11 1422 =======> 0.749359011650
