Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js _setPrototypeOf 71 20 3039
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 280 36 3375 =======> 0.306561738253
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js isView 291 17 3393 =======> 0.324487864971
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js encodePacket 294 21 3402 =======> 0.422643661499
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js encodeBlobAsBase64 313 27 3426 =======> 0.623307406902
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 315 24 3432 =======> 0.615282058716
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js toArray 321 2 3441 =======> 0.093195006251
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js encodePacketToBinary 331 2 3455 =======> 0.062764517963
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 337 32 3471 =======> 0.487213611603
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js decode 352 17 3496 =======> 0.436716556549
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js decodePacket 382 21 3528 =======> 0.882028818130
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js decodeBase64Packet 407 27 3558 =======> 0.291053175926
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js mapBinary 419 18 3568 =======> 0.922078907490
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js encodePayload 442 22 3587 =======> 0.576544225216
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 447 20 3596 =======> 0.029519284144
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 449 34 3598 =======> 0.197536125779
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js decodePayload 457 22 3606 =======> 0.162313446403
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js createPacketEncoderStream 469 2 3622 =======> 0.140957623720
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js transform 471 17 3629 =======> 0.275233119726
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 472 37 3632 =======> 0.230447977781
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js totalLength 501 2 3667 =======> 0.898309290409
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 502 25 3673 =======> 0.516316235065
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js concatChunks 506 2 3677 =======> 0.978386878967
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js createPacketDecoderStream 524 2 3697 =======> 0.625619530678
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js transform 533 17 3716 =======> 0.621150910854
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js Emitter 596 2 3771 =======> 0.004975782707
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js mixin 608 2 3777 =======> 0.373486638069
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 624 62 3783 =======> 0.124615870416
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 640 27 3791 =======> 0.489638775587
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js on 641 4 3792 =======> 0.805630564690
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.js nan 660 140 3801 =======> 0.013267642818
