/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createStrictShapeTypeChecker 442 2 567 =======> 0.071474432945
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 443 4 568 =======> 0.101859726012
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js isNode 474 2 604 =======> 0.632608532906
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js isSymbol 521 2 656 =======> 0.363884091377
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPropType 546 2 669 =======> 0.822433292866
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPreciseType 565 2 682 =======> 0.670539200306
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPostfixForTypeWarning 582 2 695 =======> 0.330168992281
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getClassName 598 2 708 =======> 0.356320828199
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPropType 260 23 360
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 10 19 3 =======> 0.346454769373
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 17 17 18 =======> 0.094226323068
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js checkPropTypes 42 0 33 =======> 0.025805743411
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 97 35 72 =======> 0.024504074827
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js nan 17 19 169 =======> 0.663896918297
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js nan 20 17 174 =======> 0.367912024260
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js emptyFunctionThatReturnsNull 34 0 189 =======> 0.067963764071
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js nan 38 17 194 =======> 0.223629802465
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getIteratorFn 57 2 204 =======> 0.168635621667
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js is 143 2 260 =======> 0.207560807467
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js PropTypeError 163 2 266 =======> 0.906230032444
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createChainableTypeChecker 171 2 274 =======> 0.834090948105
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js checkType 176 4 283 =======> 0.046786919236
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createPrimitiveTypeChecker 229 2 323 =======> 0.793560862541
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 230 4 325 =======> 0.049278222024
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createAnyTypeChecker 249 2 343 =======> 0.109538339078
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createArrayOfTypeChecker 253 2 346 =======> 0.070958293974
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 254 4 348 =======> 0.051661666483
