/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 70 35 118 =======> 0.021726213396
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js argDefined 80 1 129 =======> 0.629324257374
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setKey 87 1 134 =======> 0.564904034138
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setArg 123 1 175 =======> 0.852653205395
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 133 31 194 =======> 0.065072059631
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 139 34 199 =======> 0.003763553919
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 143 52 204 =======> 0.004699054640
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 252 31 318 =======> 0.013438037597
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 256 30 327 =======> 0.075771741569
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 265 19 333 =======> 0.059298112988
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js parse 80 13 464
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js hasKey 3 0 13 =======> 0.017506038770
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 5 27 24 =======> 0.024297391996
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isNumber 13 0 30 =======> 0.033252798021
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isConstructorOrProto 19 0 42 =======> 0.123495578766
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 23 17 48 =======> 0.997721850872
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 39 50 76 =======> 0.016086088493
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isBooleanKey 46 1 80 =======> 0.067476898432
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 53 27 90 =======> 0.157496035099
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 58 39 97 =======> 0.100954204798
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 60 23 101 =======> 0.119963228703
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 61 49 105 =======> 0.075876481831
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 67 48 113 =======> 0.025455463678
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 70 35 118 =======> 0.023041389883
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js argDefined 80 1 129 =======> 0.040374822915
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setKey 87 1 134 =======> 0.026430279016
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setArg 123 1 175 =======> 0.463578194380
