/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js createBufferStream 422 0 321 =======> 0.680159211159
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js flush 427 2 327 =======> 0.044862989336
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js write 434 2 332 =======> 0.792789757252
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js format 454 0 341 =======> 0.973410904408
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getFormatFunction 467 0 343 =======> 0.414700090885
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getip 485 0 350 =======> 0.737130582333
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js headersSent 500 0 355 =======> 0.939463734627
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js pad2 515 0 362 =======> 0.973206818104
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js recordStartTime 527 0 368 =======> 0.322412610054
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js token 541 0 371 =======> 0.969902575016
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js createServer 44 16 466
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 13 21 404 =======> 0.001763792010
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 14 24 406 =======> 0.001592847169
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 15 36 409 =======> 0.000557027583
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 16 24 415 =======> 0.000591396820
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 23 36 434 =======> 0.012072310783
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 32 23 446 =======> 0.000885854242
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 33 48 448 =======> 0.000562513655
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/test/morgan.js nan 34 26 451 =======> 0.000503482646
