Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js dateNow 184 22 1132
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 115 17 1012 =======> 0.000436817965
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 121 9 1021 =======> 0.000420002674
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js clean 128 13 1030 =======> 0.000811218692
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 130 34 1038 =======> 0.000540767214
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 135 32 1042 =======> 0.000193117216
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 137 15 1048 =======> 0.000238591078
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js readySpy 140 27 1052 =======> 0.000606996939
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js rawSpy 141 25 1054 =======> 0.000752985768
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 144 14 1060 =======> 0.000197893969
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 150 59 1069 =======> 0.000140454940
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 153 43 1076 =======> 0.000227842713
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 160 54 1088 =======> 0.000110242843
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 171 84 1111 =======> 0.000082475766
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 178 25 1127 =======> 0.000204658296
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 202 20 1164 =======> 0.000230923572
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 206 101 1167 =======> 0.000112725014
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 349 62 1461 =======> 0.000120526725
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 360 59 1477 =======> 0.000124648606
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 371 59 1492 =======> 0.000122356825
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 382 69 1506 =======> 0.000107615226
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 395 85 1523 =======> 0.000105272855
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 412 71 1551 =======> 0.000114386916
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlink 413 34 1555 =======> 0.000548311684
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js add 414 31 1559 =======> 0.000311679905
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 433 84 1583 =======> 0.000110566878
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlink 434 34 1586 =======> 0.000546525640
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js add 435 31 1589 =======> 0.000310737872
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js change 436 34 1593 =======> 0.000144402584
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 457 62 1623 =======> 0.000110001107
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlink 458 34 1626 =======> 0.000545766205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 472 59 1651 =======> 0.000097522716
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 477 63 1658 =======> 0.000116127558
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 490 56 1677 =======> 0.000085449108
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 491 34 1680 =======> 0.000373265910
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 492 31 1683 =======> 0.000491095358
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 511 73 1719 =======> 0.000092920418
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 513 34 1722 =======> 0.000373612158
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 514 31 1725 =======> 0.000492209103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 531 73 1753 =======> 0.000094277413
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 533 34 1756 =======> 0.000373586488
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 534 31 1759 =======> 0.000492401014
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 551 37 1785 =======> 0.000155481335
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 552 58 1787 =======> 0.000225376585
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js readySpy 553 33 1790 =======> 0.000503283518
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 567 32 1811 =======> 0.000154991081
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 575 32 1828 =======> 0.000113219481
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 585 42 1845 =======> 0.000110749963
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 587 34 1848 =======> 0.000373715098
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 588 31 1851 =======> 0.000492376159
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 606 43 1878 =======> 0.000113388451
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 619 34 1902 =======> 0.000088395842
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 642 59 1946 =======> 0.000156023714
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 643 96 1948 =======> 0.000117280797
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 657 73 1973 =======> 0.000115058378
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 659 36 1976 =======> 0.000373488758
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 660 33 1979 =======> 0.000491591112
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 681 107 2010 =======> 0.000110134395
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 683 36 2013 =======> 0.000373550545
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 684 33 2016 =======> 0.000491735933
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 707 108 2050 =======> 0.000108228778
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 709 36 2053 =======> 0.000373770861
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 710 33 2056 =======> 0.000492203922
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 731 53 2087 =======> 0.000099701880
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 733 36 2090 =======> 0.000373541814
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 734 33 2093 =======> 0.000491665385
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 759 103 2131 =======> 0.000110755347
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js unlinkSpy 761 36 2134 =======> 0.000373358082
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 762 33 2137 =======> 0.000491882151
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 786 32 2172 =======> 0.000177953378
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 787 62 2174 =======> 0.000151072192
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 804 39 2205 =======> 0.000174029337
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 805 56 2207 =======> 0.000121383331
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 815 62 2225 =======> 0.000097124481
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 832 34 2250 =======> 0.000174277928
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 833 62 2252 =======> 0.000122601952
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 851 47 2287 =======> 0.000114101284
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 866 61 2317 =======> 0.000151160508
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 901 59 2382 =======> 0.000235582396
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 923 60 2421 =======> 0.000109200133
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 945 61 2461 =======> 0.000109578039
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 959 60 2485 =======> 0.000076685414
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 971 102 2509 =======> 0.000156399372
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 997 90 2551 =======> 0.000153538975
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1022 79 2586 =======> 0.000109502529
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1038 42 2619 =======> 0.000154312467
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1064 51 2667 =======> 0.000121061283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1089 29 2713 =======> 0.000205059478
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1092 15 2719 =======> 0.000153253743
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1099 14 2734 =======> 0.000189250030
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1104 38 2739 =======> 0.000181821073
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js dirSpy 1105 31 2743 =======> 0.000615664583
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js addSpy 1106 31 2746 =======> 0.000490981154
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1116 39 2759 =======> 0.000157664908
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1128 60 2782 =======> 0.000159975069
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1140 53 2804 =======> 0.000156721973
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1152 63 2827 =======> 0.000174066008
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1154 25 2833 =======> 0.000132999572
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1160 60 2841 =======> 0.000177898241
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1169 47 2862 =======> 0.000117060576
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chokidar/test.js nan 1182 67 2886 =======> 0.000174827001
