/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 497 8 1927 =======> 0.341928452253
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 502 18 1938 =======> 0.031507913023
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 511 14 1946 =======> 0.415896028280
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 512 15 1949 =======> 0.921811580658
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 520 22 1959 =======> 0.968308568001
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 526 24 1964 =======> 0.982841253281
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 548 12 1971 =======> 0.951304435730
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 559 9 1976 =======> 0.630926132202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 591 18 2004 =======> 0.002228988800
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 604 20 2011 =======> 0.002321688691
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 616 5 2018 =======> 0.346933275461
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 633 10 2024 =======> 0.982979238033
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js transportEvent 634 4 2026 =======> 0.093644917011
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 648 17 2040 =======> 0.002171704546
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js getLevelValue 655 0 2043 =======> 0.844236373901
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/logger.js nan 670 5 2056 =======> 0.131615161896
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/profiler.js nan 23 13 2076 =======> 0.151083409786
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/profiler.js nan 38 6 2089 =======> 0.741486489773
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 26 13 2140 =======> 0.000881929649
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 40 8 2152 =======> 0.352540075779
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 41 17 2157 =======> 0.012264954858
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 43 27 2165 =======> 0.012440698221
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 60 10 2181 =======> 0.516779422760
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 65 49 2190 =======> 0.000340006227
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 76 12 2196 =======> 0.008864637464
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 103 16 2228 =======> 0.002553333994
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 120 11 2248 =======> 0.001704173977
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 132 10 2256 =======> 0.066993042827
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 134 21 2266 =======> 0.006308410317
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 151 13 2289 =======> 0.058128960431
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 167 21 2302 =======> 0.780405402184
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js gracefulExit 185 4 2324 =======> 0.795600950718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 207 6 2342 =======> 0.812100052834
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js onDone 212 8 2349 =======> 0.989083349705
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 213 17 2353 =======> 0.691445171833
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 223 6 2361 =======> 0.413264572620
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 241 23 2369 =======> 0.517646133900
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/rejection-handler.js nan 246 41 2374 =======> 0.039395116270
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js _stringArrayToSet 31 24 2528
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 26 13 2520 =======> 0.112915568054
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 44 5 2540 =======> 0.343764007092
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 45 17 2545 =======> 0.004765119404
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 98 19 2586 =======> 0.937231481075
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 108 27 2604 =======> 0.889925539494
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js _stringArrayToSet 32 29 2531
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 26 13 2520 =======> 0.119142137468
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 44 5 2540 =======> 0.389414042234
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 45 17 2545 =======> 0.005999076180
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 98 19 2586 =======> 0.945595264435
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/console.js nan 108 27 2604 =======> 0.900898575783
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js throwIf 67 6 2704
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/tail-file.js noop 18 0 2391 =======> 0.000458385010
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/tail-file.js nan 27 17 2395 =======> 0.478109866381
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/tail-file.js nan 40 19 2421 =======> 0.718222200871
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/tail-file.js nan 46 38 2429 =======> 0.519767761230
